Ticker,Short Name,Name,Market Cap,Price:D-1,P/E,Total Return YTD,Revenue T12M,EPS T12M
381 HK Equity,KIU HUNG INT'L,僑雄能源,280097888,0.066,,-22.35294151,223313000,-0.028576
2330 HK Equity,CHINA UPTOWN GRO,中國上城集團,518322688,0.340000004,,-10.52631378,9724626.204,-0.037847767
39 HK Equity,CHINA BEIDAHUA-A,中國北大荒,1982965760,0.425000012,,-44.07894516,785700000,0.002682
353 HK Equity,ENERGY INTERNATI,能源國際投資,436107744,0.143000007,,-35.87443924,87480000,-0.181984995
8111 HK Equity,CHINA TECHNOLOGY,中科光電,193051728,0.135000005,5.314960957,-12.90322304,140858000,0.025399999
831 HK Equity,CONVENIENCE RET,利亞零售,2603511296,3.450000048,19.07131004,-0.862068117,4728151040,0.210900001
865 HK Equity,FIRST MOBILE GRP,第一電訊,326927424,0.167999998,7.988587379,0,7395138816,0.02103
698 HK Equity,TONGDA GROUP HLD,通達集團,8775544832,1.529999971,12.16216183,11.67882919,6074060800,0.125799999
361 HK Equity,SINO GOLF HLDGS,順龍控股,393161984,0.167999998,,-26.31579018,261766000,-0.01684
8078 HK Equity,CHINA 3D DIGITAL,中國3D數碼,3066206464,0.800000012,,75.82417297,173203000,-0.165049997
274 HK Equity,C BILLION RES,中富資源,612530496,0.078000002,,0.000197249,43613000,-0.005903782
682 HK Equity,CHAODA MODERN,超大現代農業,539773632,0.164000005,,-33.87096405,1715910288,-2.14578461
204 HK Equity,CHINA INV DEV,中國投資開發,1045600576,0.116999999,83.57143402,-20.94594765,26176000,0.0014
8029 HK Equity,SUN INTERNATIONA,太陽國際集團,1892304000,1.360000014,,61.9047699,109295545,-0.278949994
1100 HK Equity,MAINLAND HEADWEA,飛達帽業,530115776,1.330000043,10.0704174,-4.929571629,870998016,0.132069997
380 HK Equity,SOFTPOWER INTERN,冠力國際,314651712,0.236000001,9.247649193,-18.62068748,611533984,0.025520001
696 HK Equity,TRAVELSKY TECH-H,中國民航信息網絡,43249377280,14.77999973,18.92309189,15.83071709,6750065422,0.815114068
544 HK Equity,DAIDO GROUP LTD,大同集團,304038016,0.125,,-31.31867981,275783008,-0.003
1666 HK Equity,TONG REN TANG-H,同仁堂科技,15215714304,11.88000011,23.85066032,-6.603774548,4928641281,0.52045765
627 HK Equity,U-RIGHT INTL HLD,佑威國際,832659968,0.629999995,,44.82758331,488524000,-0.0016
8063 HK Equity,GLOBAL MASTERMIN,環球大通集團,309651808,0.135000005,,29.80769539,56741000,-0.176000006
162 HK Equity,CENTURY GINWA RE,世紀金花商業,831247168,0.730000019,,-37.60683441,1567675968,-0.000770001
335 HK Equity,UPBEST GROUP LTD,美建集團,2923725312,2.180000067,3.739523411,-4.385960579,335385000,0.582962006
365 HK Equity,SUN EAST TECH,日東科技,876750016,1.669999957,,19.2857132,802711008,-0.001599999
3886 HK Equity,TOWN HEALTH,康健國際醫療,11176269824,1.440000057,33.15451431,-9.999998093,1122932992,0.043433002
555 HK Equity,REXLOT HOLDINGS,御泰中彩控股,1787045632,0.179000005,11.80427456,-59.31818008,1554393984,0.015163999
1177 HK Equity,SINO BIOPHARM,中國生物製藥,36986839040,4.989999771,17.88938713,-29.32011604,14983662848,0.278936329
8103 HK Equity,TAI SHING INTERN,泰盛國際(控股),116241328,1.169999957,,88.70967102,54493000,-0.137728604
7 HK Equity,HOIFU ENERGY GRO,凱富能源,1014051264,0.620000005,,-13.88889122,171996000,-0.022600002
510 HK Equity,CASH FINANCIAL S,時富金融服務集團,1488369408,0.360000014,,9.090909004,252289992,0.0037
1385 HK Equity,SHANGHAI FUDAN-H,上海復旦,3703980032,6,19.66888046,3.986135483,1280546182,0.317092482
1009 HK Equity,INTERNATIONAL EN,國際娛樂,1922026240,1.629999995,38.5169754,-1.807227254,343425984,0.042319002
8050 HK Equity,YUNBO DIGITAL,雲博產業集團,1695312512,1.25,93.98496246,-45.65217209,439016008,0.0133
111 HK Equity,CINDA INTERNATIO,信達國際控股,589909120,0.920000017,8.079033852,-12.38094711,149926000,0.063000001
8017 HK Equity,LONG SUCCESS INT,百齡國際,594619904,0.405000001,,0,0,-0.02259
8081 HK Equity,INTERACTIVE ENTE,互娛中國,546759936,0.111000001,,-50.25724792,499358992,-0.004635001
202 HK Equity,EVERCHINA INTL,潤中國際控股,1464959360,0.240999997,,-16.89655113,101536000,-0.061150001
399 HK Equity,INNOVATIVE PHARM,聯合基因科技集團,1420267264,0.970000029,,-20.49180222,30608000,-0.143200003
339 HK Equity,EARNEST INVESTMN,安利時投資,112520000,0.970000029,,11.49425602,-19017532,-0.202999994
8116 HK Equity,CHINA FORTUNE IN,中國幸福投資,588679616,0.246000007,,-30.70422173,160002000,-0.203333993
8086 HK Equity,DX.COM HOLDINGS,DX.COM控股,172133552,0.128000006,,-46.33123016,324816000,-0.211770001
8108 HK Equity,GRAND PEACE,福澤集團,40812592,0.115000002,,-36.81318283,83612000,-0.144431004
8061 HK Equity,ACROSSASIA LTD,光亞,344393856,0.068000004,,19.29825211,1781362016,-0.033400001
8041 HK Equity,LUXEY INT'L,薈萃國際控股,764819072,0.150000006,,-36.17021179,125882000,-0.01373
724 HK Equity,SINO-TECH INTERN,泰豐國際,611124736,0.044,,-21.42857361,545055008,-0.00133
966 HK Equity,CHINA TAIPING IN,中國太平,50747543552,14.11999989,7.255290508,-41.16666794,1.61458E+11,1.946165994
8089 HK Equity,CHINESE STRATEGI,華人策略,611006272,0.620000005,,-12.67605305,32688000,-0.228062972
8068 HK Equity,NEW UNIVERSE INT,新宇國際集團,1773418240,0.600000024,38.79728699,-25.27614975,284323000,0.015465
859 HK Equity,HENRY GROUP HOLD,鎮科集團,1156440064,1.190000057,2.279693604,21.42857552,50584000,0.522000018
550 HK Equity,CINMEDIA,先傳媒,644203136,1.929999948,94.14633942,-31.07143021,62857000,-0.077599997
8080 HK Equity,NORTH ASIA STRAT,北亞策略,239374656,0.125,,1.626013398,1380514016,-0.120375003
2008 HK Equity,PHOENIX SATELLIT,鳳凰衛視,8601718784,1.720000029,77.88444519,-5.494506836,4200895104,0.022083999
8008 HK Equity,SUNEVISION HLDGS,新意網集團,5898826752,2.539999962,17.83707809,2.419352531,972997008,0.142400004
857 HK Equity,PETROCHINA-H,中國石油,1.49568E+12,5.239999771,50.90239716,3.149603367,2.0391E+12,0.111849856
8025 HK Equity,ACR HOLDINGS,亞洲資產,438694560,0.248999998,,-2.352940083,24288000,-0.003304
2383 HK Equity,TOM GROUP LTD,TOM集團,7436146688,1.909999967,,-3.535356045,1267508992,-0.055117998
2800 HK Equity,TRACKER FUND HK,香港盈富基金,70424092672,20.14999962,,-8.145009995,,
903 HK Equity,TPV TECHNOLOGY,冠捷科技,3166608896,1.350000024,,32.35294724,84556625397,0.037575192
58 HK Equity,SUNWAY INTL HLDG,新威國際,741948544,0.170000002,,-34.37318039,343526000,0.168144716
188 HK Equity,SUNWAH KINGSWAY,新華匯富金融,750897472,0.136000007,61.87443542,-8.019322395,129275364,0.002198
2388 HK Equity,BOC HONG KONG HO,中銀香港,2.37359E+11,22.45000076,9.782251358,-5.274261475,70207000576,2.534449935
1097 HK Equity,I-CABLE COMM,有線寬頻,1186792320,0.589999974,,17.99999428,1509678016,-0.115489997
883 HK Equity,CNOOC,中國海洋石油,4.04952E+11,9.069999695,16.87628746,12.39157391,2.11667E+11,0.562279598
751 HK Equity,SKYWORTH DIGITAL,創維數碼,14259162112,4.849999905,4.31846571,-4.15019846,41205999616,1.123083979
934 HK Equity,SINOPEC KANTONS,中石化冠德,8975037440,3.609999895,8.740158081,-21.69197845,2043629984,0.413036004
8016 HK Equity,CHANGHONG JIAHUA,長虹佳華,1614663680,1.110000014,14.83501148,-16.54135513,20379641344,0.063506999
8083 HK Equity,CHINA INNOVATION,中國創新支付,2242963200,0.370000005,,-10.84337044,93829000,-0.028742
1236 HK Equity,NATIONAL AGRI,國農控股,3354749952,1.580000043,,-52.97618866,199229517.5,-0.403460316
1207 HK Equity,SRE GROUP LTD,上置集團,4277460480,0.208000004,,-43.01369858,1762514944,-0.310674988
758 HK Equity,JUNEFIELD DEPART,莊勝百貨,355436000,0.340000004,,-7.602425098,316791000,-0.067870999
8003 HK Equity,GREAT WORLD COMP,世大控股,414167520,0.194999993,,-27.77778244,14347000,-0.0151
1073 HK Equity,CHINA AGROTECH,浩倫農科,245432480,0.245000005,65.38564301,0,4928253184,0.003747
1079 HK Equity,PINE TECHNOLOGY,松景科技,331770528,0.360000014,14.17192268,44.57831955,2482277054,0.02540448
388 HK Equity,HKEX,香港交易所,2.1524E+11,178.1000061,27.21926498,-8.903716087,12158999808,6.5431602
1046 HK Equity,UNIVERSE INTL,寰宇國際,158218944,0.889999986,0.241654485,-34.55882645,344674008,3.682944311
917 HK Equity,NEW WORLD CHINA,新世界中國,67442765824,7.75,41.62191391,24.79871178,16060890112,0.272399992
61 HK Equity,NORTH ASIA RESOU,北亞資源,1701237504,0.028999999,,-17.14286041,63923000,-0.189563002
8088 HK Equity,AID PARTNERS CAP,匯友資本,1527505920,0.165000007,,-45.90163803,160944000,-0.037100001
8095 HK Equity,BEIDA JADE BIR-H,北大青鳥,1504696064,1.269999981,13.83470249,-38.94230652,1369290352,0.094827707
686 HK Equity,UNITED PHOTOVOLT,聯合光伏,2831581184,0.589999974,5.88834095,-21.33333588,777436704,0.100197997
927 HK Equity,FUJIKON IND HLDG,富士高實業,462212288,1.100000024,150.684967,10.00000191,1117207008,0.007299999
599 HK Equity,E BON HLDGS LTD,怡邦行控股,435435008,1.450000048,5.731225491,2.836885214,607750016,0.252999999
8007 HK Equity,GLOBALSTRAT,環球戰略集團,1283684992,0.226999998,,31.97673798,217068000,-0.02097
8032 HK Equity,VIVA CHINA HOLDI,非凡中國,5686712832,0.649999976,,-18.75000381,147355000,-0.020952
8026 HK Equity,PROSTEN TECHNOLO,長達科技,427190592,0.389999986,,-17.89473915,8549000,-0.030530001
2886 HK Equity,BINHAI INVESTMEN,濱海投資,2466132736,2.099999905,0.246910632,-12.21532631,2554761984,8.505101077
643 HK Equity,CARRY WEALTH,恆富控股,1161618816,1.419999957,,10.93749905,120695000,-0.046200002
997 HK Equity,CHINLINK INTL,普匯中金國際,809586304,0.289999992,3.478177547,-56.06060791,264905000,0.083376996
8006 HK Equity,SINO SPLENDID,華泰瑞銀,141469200,0.022,9.830205917,-24.13792992,92724000,0.002238
8033 HK Equity,VODATEL NETWORKS,愛達利網絡,233251216,0.379999995,21.60072899,28.8135643,327041992,0.017591999
110 HK Equity,CHINA FORTUNE HL,中國長遠,320344416,0.38499999,,32.75862122,157902992,-0.028399999
764 HK Equity,ETERNITY INVESTM,永恒策略投資,562801152,0.174999997,0.221750319,-23.91304588,184780000,0.34070515
969 HK Equity,HUA LIEN INTL,華聯國際,734045312,0.335000008,,-1.470586777,366308000,-0.261179999
694 HK Equity,BEIJING CAP AI-H,北京首都機場,35296751616,8.149999619,18.13532066,-2.628437996,10499535082,0.467991386
702 HK Equity,SINO OIL AND GAS,中國油氣,3084695040,0.175999999,,-16.19047356,67021000,-0.026992
692 HK Equity,CHINA HOUSEHOLD,中國家居,468339456,0.101000004,,-32.66666794,1152100992,-0.282350998
768 HK Equity,UBA INVESTMENTS,開明投資,161086288,0.151999995,3.6573627,-27.27273178,163901412,0.04156
8005 HK Equity,YUXING INFOTECH,裕興科技,4953929216,2.75,,5.769234657,646485976,-0.158237997
125 HK Equity,SUN HING VISION,新興光學,751545920,2.859999895,12.02751923,-0.348431736,1145515968,0.237788007
1224 HK Equity,C C LAND HOLDING,中渝置地,5176446464,2,3.787986279,-17.35537529,6603485952,0.527985007
1173 HK Equity,VEEKO INTL HLDGS,威高國際,578110016,0.241999999,5.345585346,-29.85507202,2200607936,0.045271
858 HK Equity,EXTRAWELL PHARM,精優藥業,669200000,0.280000001,,-24.32432556,136159000,0.122299999
1104 HK Equity,APAC RESOURCES L,亞太資源,845632000,0.092,,5.747129917,120587000,-0.006253
1225 HK Equity,LERADO FINANCIAL,隆成集團,441451296,0.115000002,0.235709056,-22.81879234,176731000,0.609052223
2972 HK Equity,C P NEW ENERGY,中國電力新能源,5778904576,4.869999886,44.9091301,-35.92105484,2968277892,0.115053427
143 HK Equity,GLOBAL TECH HLDG,耀科國際,1079688576,0.209000006,,-52.5,98858000,-0.005
762 HK Equity,CHINA UNICOM,中國聯通,2.03071E+11,8.479999542,21.71721458,-8.179859161,3.33284E+11,0.405897041
3908 HK Equity,CHINA INTERNAT-H,中金公司,27449360384,11.89999962,8.611182213,-5.705232143,11722913792,1.381924033
747 HK Equity,SHENYANG PUB-H,瀋陽公用,881625600,0.600000024,,-25.92592239,383810022.8,-0.002469283
922 HK Equity,ANXIAN YUAN CHIN,安賢園中國,777126720,0.143000007,28.60000229,-7.741931915,102547000,0.005
8028 HK Equity,TIMELESS SOFTWAR,天時軟件,255503360,0.107000001,,-20.74074364,163871000,-0.016499507
1070 HK Equity,TCL MULTIMEDIA T,TCL多媒體,8159540736,4.699999809,114.614563,-4.471549988,33089181696,0.041007005
1043 HK Equity,COSLIGHT TECH,光宇國際,1079281792,2.700000048,178.5977783,-20.58823586,5051741504,0.016857187
759 HK Equity,CEC INTL,CEC INT'L HOLD,672852736,1.00999999,36.38459396,-31.75675774,2542652928,0.027759001
1163 HK Equity,DEJIN RESOURCES,德金資源,92362920,0.215000004,,0,17486000,-4.296748012
913 HK Equity,UNITY INVESTMENT,合一投資,195005376,0.067000002,0.134582847,-45.52845383,670501040,0.11500001
769 HK Equity,CHINA RARE EARTH,中國稀土,1334769152,0.569999993,,-13.6363678,843109984,-0.133167455
855 HK Equity,CHINA WATER AFFA,中國水務,5957854720,3.920000076,14.65968609,5.376345158,3141214976,0.267400004
342 HK Equity,NEWOCEAN ENERGY,新海能源,3863839232,2.609999895,5.10763216,-14.14473915,15514990080,0.510999992
15 HK Equity,VANTAGE INTL,盈信控股,1047998656,0.600000024,2.407733679,5.263163567,3268796032,0.249197006
208 HK Equity,POLYTEC ASSET HO,保利達資產,2663380736,0.600000024,51.48888779,-15.49295139,357516992,0.011653
851 HK Equity,SHENG YUAN HLDG,盛源控股,906506240,0.25999999,,-8.771931648,405678016,-0.009816
910 HK Equity,CHINA SANDI HOLD,中國三迪,692548480,0.280000001,,-7.692267895,121658000,-0.010742751
1044 HK Equity,HENGAN INTL,恆安國際,79866937344,65.75,19.8221283,-8.606554031,24450467840,3.317000031
862 HK Equity,VISION VALUES HO,遠見控股,907143616,0.349999994,,-30.00000191,22415000,-0.0199
166 HK Equity,NEW TIMES ENERGY,新時代能源,422554432,0.169,,3.04877758,67603000,-0.676128991
898 HK Equity,MULTIFIELD INTL,萬事昌國際,1442227968,0.344999999,2.186436415,-2.816898823,334101000,0.157790998
651 HK Equity,CHINA OCEAN INDU,中海船舶重工,2243622912,0.187000006,,-20.42552948,157635000,-0.052484
706 HK Equity,BEAUTIFUL CHINA,美麗中國,666887808,0.127000004,,-20.12578011,22073000,-0.012232
905 HK Equity,GLOBAL MASTERMIN,環球大通投資,197791952,0.469999999,,-31.28655052,-62707000,-1.649827071
875 HK Equity,CHINA FINANCE IN,中國金控,1417609088,0.206,,-1.904758692,101085000,-0.011551999
1201 HK Equity,TESSON HOLDINGS,天臣控股,473744320,0.800000012,10.51925755,-23.80951881,795306976,0.076050999
1192 HK Equity,TITAN PETROCHEMI,泰山石化集團,1923856512,0.246000007,,0,0,-0.030915
1168 HK Equity,SINOLINK WORLD,百仕達控股,2832890368,0.800000012,,-20.79207802,335956000,-0.115594004
754 HK Equity,HOPSON DEV,合生創展集團,15566813184,6.980000019,9.500579834,-9.585489273,12845184000,0.734691992
908 HK Equity,ZHUHAI HOLDINGS,珠海控股投資,1727634560,1.210000038,13.84296894,0.833332479,3067067008,0.087408999
46 HK Equity,COMPUTER & TECH,科聯系統,634904896,2.599999905,14.23464108,-12.1621666,219087000,0.182653002
1171 HK Equity,YANZHOU COAL-H,兗州煤業,40102858752,3.890000105,20.59150696,7.458570004,87317899830,0.197484081
1159 HK Equity,JIMEI INT ENT,集美國際娛樂,1219105024,2.470000029,139.9512482,-35.5091362,194857000,0.017649002
1141 HK Equity,SKYWAY SECURITIE,天順證券,3087418624,0.217999995,,8.999996185,42453000,-0.112599999
1139 HK Equity,VICTORY GROUP,華多利集團,429573216,0.5,,2.0408144,10985000,-0.0224
727 HK Equity,CROWN INTERNATIO,皇冠環球集團,4004000000,1.399999976,,-10.82802963,55067000,-0.014342
925 HK Equity,BEIJING PROPERTI,北京建設,3450959872,0.50999999,13.32009983,-20.3125,296572000,0.038288
109 HK Equity,GOOD RESOURCES H,天成國際,4466910208,0.620000005,134.782608,-57.24137878,97931000,0.0046
1169 HK Equity,HAIER ELECTRONIC,海爾電器,32567787520,11.65999985,10.04483128,-25.82697487,77530741673,1.206482217
882 HK Equity,TIANJIN DEV HLDG,天津發展,3829789440,3.569999933,6.797578812,-23.88059998,6368910080,0.525186986
1125 HK Equity,LAI FUNG HLDGS,麗豐控股,1943723008,0.119999997,1.716738105,-7.692306519,2196891008,0.0699
771 HK Equity,AUTOMATED SYS,自動系統,443269600,1.389999986,22.29421997,-22.34636879,1506041024,0.062348001
874 HK Equity,BAIYUNSHAN PH-H,白雲山,34498646016,17.60000038,14.74868011,-19.8177681,23415070833,1.245076431
914 HK Equity,ANHUI CONCH-H,海螺水泥,93264404480,18.37999916,10.89897728,-11.84652805,62876363767,1.760607364
978 HK Equity,CHINA MERCHANTS,招商局置地,5542941184,1.129999995,25.25202942,-27.25187683,7845691970,0.046794575
918 HK Equity,TAKSON HLDGS,第一德勝控股,345055680,0.444999993,,5.952382565,169386000,-0.007819
1064 HK Equity,ZHONG HUA INTL,中華國際,227106192,0.375,7.905555248,-23.46938896,37392000,0.047435
1004 HK Equity,C SMARTERENERGY,中國智慧能源,3672745216,0.469999999,,-51.04166412,139648000,-0.05357
107 HK Equity,SICHUAN EXP-H,四川成渝,12847058944,2.569999933,6.314800739,-7.220218182,11634313696,0.418589689
1189 HK Equity,ROSEDALE HOTEL H,珀麗酒店,327522592,0.414999992,,-15.30612564,235412000,-0.129342994
1136 HK Equity,TCC INTL HLDGS,台泥國際,6228765696,1.25999999,,-10.52203369,10911069184,-0.053777996
959 HK Equity,AMAX INTERNATION,奧瑪仕國際,206597648,0.419999987,,-32.2884407,6663000,-0.112625588
348 HK Equity,HAIERHEALTHWISE,海爾智能健康,1568205824,0.264999986,,-28.37838364,349878016,-0.000121
161 HK Equity,AVIC IHL-H,中航國際控股,4256491264,3.650000095,4.906749249,-15.8986187,42362004994,1.251818756
938 HK Equity,MAN SANG INTL,民生國際,1239142144,0.779999971,41.93548203,-16.12903595,164354000,0.016
136 HK Equity,HENGTEN NETWORKS,恒騰網絡,22445125632,0.305000007,,-47.41379166,120275000,-0.028761999
952 HK Equity,QUAM LTD,華富國際,770778880,0.50999999,9.837773323,-59.84252167,558609008,0.051841
1220 HK Equity,ZHIDAO INT'L,志道國際,2296800000,1.159999967,,-18.30985832,83840000,-0.00614
693 HK Equity,TAN CHONG INTL,陳唱國際,5073538560,2.519999981,16.41650963,-4.182514191,14818639360,0.153504007
1055 HK Equity,CHINA SOUTHERN-H,南方航空,72934137856,4.840000153,10.85622501,-19.06354332,1.37725E+11,0.46838736
899 HK Equity,ASIA RESOURCES,亞洲資源,1335922560,0.25,,-41.860466,,-0.056489
1053 HK Equity,CHONGQING IRON-H,重慶鋼鐵,12158851072,1.110000014,,-7.500002384,9162910648,-1.687761862
1124 HK Equity,COASTAL GREENLAN,沿海家園,774386752,0.185000002,,-4.145078182,1934426048,-0.101925999
979 HK Equity,GREEN ENERGY GRO,綠色能源集團,196478896,0.294999987,,-10.60606766,1211000,-0.067613002
1205 HK Equity,CITIC RESOURCES,中信資源,5186099712,0.660000026,,-17.49999809,3713127040,-0.776812971
124 HK Equity,GUANGDONG LAND H,粵海置地,3868073216,2.25999999,22.10571671,5.11627388,857936984,0.102235995
1185 HK Equity,CHINA ENERGINE,中國航天萬源,2359257600,0.540000021,31.25362015,-21.73912621,2616695936,0.017277999
941 HK Equity,CHINA MOBILE,中國移動,1.72813E+12,84.40000153,13.42609215,-3.542855501,8.24951E+11,6.549625321
177 HK Equity,JIANGSU EXPRES-H,寧滬高速,50848227328,10.38000011,17.60126305,-0.764817595,10470844030,0.616491213
943 HK Equity,EFORCE HLDGS LTD,意科控股,141875584,0.118000001,,-84.26667023,178595000,-0.262527296
334 HK Equity,TCL DISPLAY TECH,TCL顯示科技,1325554816,0.769999981,,-35.83333588,2404315904,-0.039617175
178 HK Equity,SA SA INTL HLDGS,莎莎國際,6680823808,2.309999943,10.06417465,-11.83205986,8544773120,0.229527008
38 HK Equity,FIRST TRACTOR-H,第一拖拉機股份,8085612544,3.970000029,24.64892006,-20.28112411,11896839589,0.169798097
554 HK Equity,HANS ENERGY COMP,漢思能源,1007812288,0.270000011,,-16.92307091,223203000,-0.025312999
560 HK Equity,CHU KONG SHIPPIN,珠江船務,2149199872,1.99000001,8.586728096,-15.6779623,1922280000,0.231752999
575 HK Equity,REGENT PACIFIC G,勵晶太平洋,521175360,0.029999999,,-65.51724243,-45436464.54,-0.020726527
578 HK Equity,ROSAN RESOURCES,融信資源,245872416,0.230000004,,-1.197149038,721809984,-0.364838984
1130 HK Equity,CHINA ENVIRONMEN,中國環境資源,840083392,0.495000005,,99.59677887,3759000,-0.090738002
